縣市,統計期,業者名稱,類別,基地臺
澎湖縣,1150531,遠傳電信股份有限公司,4G,123
宜蘭縣,1150430,中華電信股份有限公司,4G,756
宜蘭縣,1150430,遠傳電信股份有限公司,5G,591
宜蘭縣,1150430,遠傳電信股份有限公司,4G,479
宜蘭縣,1150430,台灣大哥大股份有限公司,4G,506
宜蘭縣,1150430,中華電信股份有限公司,5G,818
宜蘭縣,1150430,台灣大哥大股份有限公司,5G,528
花蓮縣,1150430,台灣大哥大股份有限公司,5G,597
花蓮縣,1150430,中華電信股份有限公司,4G,799
花蓮縣,1150430,中華電信股份有限公司,5G,760
花蓮縣,1150430,台灣大哥大股份有限公司,4G,486
花蓮縣,1150430,遠傳電信股份有限公司,4G,539
花蓮縣,1150430,遠傳電信股份有限公司,5G,685
金門縣,1150430,台灣大哥大股份有限公司,5G,77
金門縣,1150430,中華電信股份有限公司,4G,390
金門縣,1150430,台灣大哥大股份有限公司,4G,80
金門縣,1150430,中華電信股份有限公司,5G,227
金門縣,1150430,遠傳電信股份有限公司,5G,67
金門縣,1150430,遠傳電信股份有限公司,4G,125
南投縣,1150430,中華電信股份有限公司,4G,801
南投縣,1150430,台灣大哥大股份有限公司,4G,618
南投縣,1150430,中華電信股份有限公司,5G,883
南投縣,1150430,遠傳電信股份有限公司,5G,700
南投縣,1150430,遠傳電信股份有限公司,4G,583
南投縣,1150430,台灣大哥大股份有限公司,5G,542
屏東縣,1150430,遠傳電信股份有限公司,5G,745
屏東縣,1150430,台灣大哥大股份有限公司,5G,654
屏東縣,1150430,中華電信股份有限公司,5G,906
屏東縣,1150430,遠傳電信股份有限公司,4G,772
屏東縣,1150430,中華電信股份有限公司,4G,1139
屏東縣,1150430,台灣大哥大股份有限公司,4G,777
苗栗縣,1150430,遠傳電信股份有限公司,5G,739
苗栗縣,1150430,中華電信股份有限公司,5G,978
苗栗縣,1150430,中華電信股份有限公司,4G,1031
苗栗縣,1150430,台灣大哥大股份有限公司,5G,579
苗栗縣,1150430,台灣大哥大股份有限公司,4G,646
苗栗縣,1150430,遠傳電信股份有限公司,4G,650
桃園市,1150430,遠傳電信股份有限公司,5G,1581
桃園市,1150430,台灣大哥大股份有限公司,4G,1580
桃園市,1150430,中華電信股份有限公司,4G,1676
桃園市,1150430,中華電信股份有限公司,5G,2366
桃園市,1150430,遠傳電信股份有限公司,4G,1308
桃園市,1150430,台灣大哥大股份有限公司,5G,1795
高雄市,1150430,中華電信股份有限公司,5G,2696
高雄市,1150430,台灣大哥大股份有限公司,5G,2149
高雄市,1150430,中華電信股份有限公司,4G,2733
高雄市,1150430,遠傳電信股份有限公司,4G,1738
高雄市,1150430,台灣大哥大股份有限公司,4G,1901
高雄市,1150430,遠傳電信股份有限公司,5G,2049
基隆市,1150430,中華電信股份有限公司,4G,314
基隆市,1150430,遠傳電信股份有限公司,4G,279
基隆市,1150430,中華電信股份有限公司,5G,374
基隆市,1150430,台灣大哥大股份有限公司,5G,244
基隆市,1150430,台灣大哥大股份有限公司,4G,217
基隆市,1150430,遠傳電信股份有限公司,5G,330
連江縣,1150430,中華電信股份有限公司,4G,91
連江縣,1150430,台灣大哥大股份有限公司,5G,40
連江縣,1150430,中華電信股份有限公司,5G,70
連江縣,1150430,遠傳電信股份有限公司,4G,28
連江縣,1150430,台灣大哥大股份有限公司,4G,26
連江縣,1150430,遠傳電信股份有限公司,5G,41
雲林縣,1150430,台灣大哥大股份有限公司,5G,547
雲林縣,1150430,遠傳電信股份有限公司,5G,555
雲林縣,1150430,台灣大哥大股份有限公司,4G,489
雲林縣,1150430,中華電信股份有限公司,4G,856
雲林縣,1150430,中華電信股份有限公司,5G,856
雲林縣,1150430,遠傳電信股份有限公司,4G,541
新北市,1150430,台灣大哥大股份有限公司,5G,2658
新北市,1150430,中華電信股份有限公司,4G,2412
新北市,1150430,台灣大哥大股份有限公司,4G,2307
新北市,1150430,遠傳電信股份有限公司,5G,2251
新北市,1150430,遠傳電信股份有限公司,4G,1897
新北市,1150430,中華電信股份有限公司,5G,3032
新竹市,1150430,台灣大哥大股份有限公司,4G,287
新竹市,1150430,遠傳電信股份有限公司,5G,486
新竹市,1150430,中華電信股份有限公司,4G,401
新竹市,1150430,中華電信股份有限公司,5G,528
新竹市,1150430,台灣大哥大股份有限公司,5G,422
新竹市,1150430,遠傳電信股份有限公司,4G,342
新竹縣,1150430,台灣大哥大股份有限公司,4G,587
新竹縣,1150430,中華電信股份有限公司,4G,968
新竹縣,1150430,台灣大哥大股份有限公司,5G,579
新竹縣,1150430,中華電信股份有限公司,5G,945
新竹縣,1150430,遠傳電信股份有限公司,5G,711
新竹縣,1150430,遠傳電信股份有限公司,4G,466
嘉義市,1150430,台灣大哥大股份有限公司,5G,176
嘉義市,1150430,遠傳電信股份有限公司,4G,135
嘉義市,1150430,中華電信股份有限公司,4G,208
嘉義市,1150430,遠傳電信股份有限公司,5G,182
嘉義市,1150430,中華電信股份有限公司,5G,260
嘉義市,1150430,台灣大哥大股份有限公司,4G,157
嘉義縣,1150430,中華電信股份有限公司,5G,782
嘉義縣,1150430,台灣大哥大股份有限公司,5G,449
嘉義縣,1150430,遠傳電信股份有限公司,4G,448
嘉義縣,1150430,中華電信股份有限公司,4G,813
嘉義縣,1150430,台灣大哥大股份有限公司,4G,496
嘉義縣,1150430,遠傳電信股份有限公司,5G,500
彰化縣,1150430,遠傳電信股份有限公司,5G,792
彰化縣,1150430,中華電信股份有限公司,4G,1120
彰化縣,1150430,遠傳電信股份有限公司,4G,831
彰化縣,1150430,中華電信股份有限公司,5G,1266
彰化縣,1150430,台灣大哥大股份有限公司,4G,773
彰化縣,1150430,台灣大哥大股份有限公司,5G,847
臺中市,1150430,中華電信股份有限公司,5G,2861
臺中市,1150430,台灣大哥大股份有限公司,5G,2768
臺中市,1150430,中華電信股份有限公司,4G,2778
